Tournament,Player,Wins
Australian Open,Novak Djokovic,10
Australian Open,Roy Emerson,6
Australian Open,Roger Federer,6
Australian Open,Andre Agassi,4
Australian Open,Ken Rosewall,4
Australian Open,Mats Wilander,3
Australian Open,Rod Laver,3
Australian Open,Ivan Lendl,2
Australian Open,Jim Courier,2
Australian Open,Pete Sampras,2
French Open,Rafael Nadal,14
French Open,Bjorn Borg,6
French Open,Gustavo Kuerten,3
French Open,Ivan Lendl,3
French Open,Mats Wilander,3
French Open,Roy Emerson,2
French Open,Jaroslav Drobny,2
French Open,Tony Trabert,2
French Open,Manuel Santana,2
French Open,Jan Kodes,2
US Open,Jimmy Connors,5
US Open,Pete Sampras,5
US Open,Roger Federer,5
US Open,John McEnroe,4
US Open,Rafael Nadal,4
US Open,Novak Djokovic,3
US Open,Ivan Lendl,3
US Open,Andre Agassi,2
US Open,Frank Sedgman,2
US Open,Tony Trabert,2
Wimbledon,Roger Federer,8
Wimbledon,Pete Sampras,7
Wimbledon,Novak Djokovic,7
Wimbledon,Bjorn Borg,5
Wimbledon,Rod Laver,4
Wimbledon,John McEnroe,3
Wimbledon,John Newcombe,3
Wimbledon,Boris Becker,3
Wimbledon,Andy Murray,2
Wimbledon,Roy Emerson,2
